pathogen_nm	pathogenType_nm	subtype	latin name	alt_latin_names	alt_common_names	ph_common_names	crops	taxonomy	notes	urls	biological_cure
Rice ear-cutting caterpillar	Insect	Moth	Mythimna separata		Northern armyworm,Oriental armyworm		Rice				
Rice flatsedge	Grass Weed		Cyperus iria		Rice flat sedge		Rice				
Rice grain moth	Insect	Moth	Sitotroga cerealella		Angoumois grain moth		Rice	"Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:	Gelechiidae,Genus:Sitotroga"			
Rice leaffolder	Insect	Moth	Cnaphalocrocis medinalis				Rice	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Cnaphalocrocis			
Rice Stem borer	Insect	Moth					Rice			http://www.knowledgebank.irri.org/images/docs/managing-rice-stem-borers-in-rice-wheat-systems.pdf	
Rice Striped stemborer	Insect	Moth	Chilo suppressalis				Rice		"most abundant in temperate countries and in non-flooded areas.
Its damage can be as high as 100%"		
Rice swarming caterpillar	Insect	Moth	Spodoptera mauritia				Rice			http://www.knowledgebank.irri.org/training/fact-sheets/pest-management/insects/item/armyworms	
Rice weevil	Insect		Sitophilus oryzae				Stored grain,Rice				
Rice whorl maggot	Insect	Fly	Hydrellia philippina				Rice,Watermelon				
Rice Yellow stemborer	Insect	Moth	Scirpophaga incertulas				Rice			http://www.knowledgebank.irri.org/images/docs/managing-rice-stem-borers-in-rice-wheat-systems.pdf	
Rind borer	Insect	Moth	Prays endocarpa				Citrus			https://www.cabidigitallibrary.org/doi/full/10.1079/cabicompendium.43911	
Rindworm complex	Insect		Spodoptera exigua	"Spodoptera frugiperda,Spodoptera ornithogalli,Trichoplusia ni,Heliothis virescens,
,Helicoverpa zea,Estigmene acrea,
Feltia subterranea"			Watermelon				
Ringspot	Fungus		Mycosphaerella brassicicola				Cabbage	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Mycosphaerella,			
Rodents	Rodent						Corn,Pineapple,Rice,Sugarcane				
Root canker	Fungus		Rhizoctonia spp.				Carrot				
Root dieback	Fungus		Pythium spp.				Carrot	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Pythiaceae,Genus:Pythium			
Root disease	Fungus						-				
Root fly	Insect						-				
Root knot	Nematode		Meloidogyne hapla				Carrot				
Root rot	Fungus		Fusarium spp.,Fusarium culmorum,Rhizoctonia spp.,Sclerotium rolfsii				Carrot				
Root scab	Physiological		Physiological				Carrot				
Root-knot nematode	Nematode						Pineapple				
Rubbery brown rot	Fungus		Phytophthora cactorum,P. megasperma				Carrot				
Rubbery slate rot	Fungus		Pythium debaryanum				Carrot				
Rusetting	Fungus						Citrus				
Rust	Fungus		Aecidium foeniculi,Uromyces graminis,Uromyces lineolatus subsp. nearcticus= Uromyces scirpi				Banana,Beans,Carrot,Chrysanthemum,Citrus,Coffee,Corn,Mungbeans,Ornamentals,Peanut,Peas,Pepper,Snap Beans,Soyabeans,Stringbeans				
Rust-red grain beetle	Insect						-				
Rusty root	Fungus		Pythium spp.,Olpidium brassicae, as vector, tobacco necrosis virus				Carrot				
Saramolla grass	Grass Weed						Rice				
Saromacca grass	Grass Weed						-				
Saw toothed grain beetle	Insect						-				
Scab: Bacterial	Bacteria		Streptomyces scabiei				Potato,Beet,Carrot,Parsnip,Radish,Rutabaga,Tturnip,seedlings of many monocots and dicots	Domain:Bacteria,Phylum:Actinomycetota,Class:Actinomycetia,Order:Streptomycetales,Family:Streptomycetaceae,Genus:Streptomyces,Species:S. scabiei			
Scab: Fungal	Fungus						Calamansi,Cantaloupe,Citrus,Cucumber,Mandarin,Mango,Melon,Orange,Potato,Squash,Watermelon				
Scale insects	Insect						Banana,Banana (Cavendish),Citrus,Coconut,Fruit trees,Grapes,Mango,Ornamentals,Papaya,Pineapple,Sugarcane				
Scarab beetle white grubs	Insect		Phyllophaga spp				Sugarcane,Corn	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Suborder:Polyphaga,Infraorder:Scarabaeiformia,Family:Scarabaeidae,Subfamily:Melolonthinae,Tribe:Melolonthini,Genus:Phyllophaga,			
Scarring beetle	Insect						banana				
Sclerotinia rot	Fungus		Sclerotinia sclerotiorum,Sclerotinia minor				Carrot				
Sedges	Grass Weed						Banana,Banana (Cavendish),Cacao,Citrus,Coconut,Coffee,Corn,Grass,Lawns,Mango,Non-crop areas,Oil palm,Okra,Onion,Pineapple,Rice,Rubber,Soyabeans,Sugarcane,Turf grass,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Cyperaceae			
Seed borer	Insect						Mango				
Seed corn maggot	Insect						Corn,Sugarcane				
Seed mold	Fungus		Alternaria alternata,Gibberella fujikuroi,Fusarium moniliforme [anamorph]				Carrot				
Seedling blight	Fungus		Pythium,Fusarium,Diplodia,Rhizoctonia,Penicillium spp.				Corn,Oil palm				
Semi-Looper	Insect						Beans,Cabbage,Soyabeans,Stringbeans			http://www.plantdoctor.eastwestseed.com/insect-pests/semi-looper	
Semi-Slugs 	Mollusc		Pamarion martens				-				
Sensitive plant	Broadleaf Weed		Mimosa pudica				-	Domain:Eukarya,Kingdom:Plantae,Phylum:Anthophyta,Class:Dicotyledoneae,Order:Fabales,Family:Fabaceae,Genus:Mimosa	Fabaceae: pea family		
Septoria	Fungus						Celery,Cucumber,Cucurbits,Melon,Squash,Tomato,Watermelon				
Septoria fruit spot	Fungus						Cucumber,Cucurbits,Melon,Squash,Watermelon				
Septoria leaf spot	Fungus		Septoria lycopersici				Celery,Cucumber,Cucurbits,Melon,Squash,Tomato,Watermelon	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Septoria			
Sheath blight	Fungus		Rhizoctonia solani				Rice, soybean, bean, sorghum, corn, sugarcane, turfgrass	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Agaricomycetes,Order:Cantharellales,Family:Ceratobasidiaceae,Genus:Rhizoctonia	and weed hosts such as barnyard grass, crabgrass, and broadleaf signal grass		
Sheath rot	Fungus						Rice				
Shoot borer	Insect						Eggplant				
Shot hole disease	Fungus						Cabbage,Cauliflower,Lettuce				
Sigatoka	Fungus						Banana				
Silk beetle	Insect						Corn				
Silkworm	Insect						Corn,Cotton				
Slugs	Mollusc						Banana,Banana (Cavendish),Chinese Cabbage,Cruciferae,Pineapple,Potted plants,Strawberry				
Smoky fruit disease	Fungus						Banana				
Smooth beggarticks	Broadleaf Weed		Bidens laevis		Larger bur-marigold		NULL				
Snails	Mollusc						Chinese Cabbage,Cruciferae,Strawberry				
Soil insects	Insect						Cowpea,Soyabeans				
Soil pests	Insect						Banana				
Sooty mold	Fungus						Mango				
Sooty rot	Fungus		Aspergillus niger				Carrot				
Sour paspalum grass	Fungus						Banana,Cacao,Citrus,Coffee,Cotton,Oil palm,Onion,Pineapple,Ramie,Rubber,Soyabeans,Tomato				
Sour rot	Fungus		Geotrichum candidum				Carrot				
Souring beetle	Insect						Pineapple				
Southern blight	Fungus		Athelia rolfsii,Sclerotium rolfsii [anamorph]				Carrot				
Spear rot	Fungus						Asparagus				
Speckled carrot	Physiological		Genetic disorder				Carrot				
Spider mites	Mite						Grapes,Mango,Ornamentals,Papaya			http://www.plantdoctor.eastwestseed.com/insect-pests/red-spider-mites	
Spindletop	Fungus						Corn				
Spiral Nematodes	Nematode						Pineapple				
Spotted Stem Borer	Insect	Moth	Chilo partellus							http://www.knowledgebank.irri.org/images/docs/managing-rice-stem-borers-in-rice-wheat-systems.pdf	
Squash beetle	Insect						Cucurbits,Melon,Watermelon				
Squash blight	Fungus		Phytophthora capsici		Phytophthora blight		Cucurbits,Squash,Eggplant				
Squash bug	Insect						Cowpea,Cucumber,Cucurbits,Legumes,Melon,Mungbeans,Soyabeans,Watermelon				
Stem blight	Fungus						Asparagus				
Stem borer	Insect						Corn,Mango,Rice,Watermelon				
Stem end rot	Fungus						Pepper				
Stem rot	Fungus						Okra,Rice				
Stem spot	Fungus		Diaporthe arctii				Carrot				
Stemphylium leaf blight	Fungus		Stemphylium sp.				Garlic	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Stemphylium			
Sting nematode	Nematode		Belonolaimus longicaudatus				Carrot				
Stink bug	Insect						Citrus,Cowpea,Legumes,Mungbeans,Soyabeans				
Stored grain pests	Insect						,Stored grain				
Strawberry leaf spot	Fungus						Strawberry				
Stubby-root nematodes	Nematode		Trichodorus				Carrot				
Sugarcane borer	Insect		Chilo sacchariphagus:sugarcane internode spotted borer	Sesamia inferens: pink borer,Argyroploce schistaceana:white borer			Sugarcane				
Sugarcane white grub	Insect						Banana,Corn,Perennial fruits,Pineapple,Sugarcane				
Symphylids	Insect						NULL				
Termites	Insect						Sugarcane				
Tip hoppers	Insect						Mango				
Tip rot	Fungus		Numerous pathogens				Carrot				
Tipborer	Insect						-				
Tobacco brown leaf spot	Fungus		Alternaria longipes				Tobacco	KingdomFungi,PhylumAscomycota,SubphylumPezizomycotina,ClassDothideomycetes,SubclassPleosporomycetidae,OrderPleosporales,FamilyPleosporaceae,GenusAlternaria,			
Tobacco budworm	Insect	Moth	Helicoverpa assulta				Alfalfa,Clover,Cotton,Flax,Soybean,Tobacco,Cabbage,Cantaloupe,Lettuce,Pea,Pepper,Pigeonpea,Squash,Tomato,Ornamentals,Sitao,Solanaceae	Kingdom:AnimaliaPhylum:ArthropodaClass:InsectaOrder:LepidopteraFamily:NoctuidaeGenus:Chloridea			
Tomato Anthracnose	Fungus		Collectotrichum cocodes		Potato black dot disease		Tomato,Potato				
Tomato blight	Oomycete		Phytophthora infestans								
Tropical whiteweed	Fungus						Corn				
Twig borer	Insect						Mango				
Twigcutter	Insect						Mango				
Twister disease	Fungus		Colletotrichum gloeosporioides	Fusarium fujikuroi			Onion				
Umbel blight	Fungus		Colletotrichum gloeosporioides				Carrot				
Variable flatsedge	Grass weed		Cyperus difformis		Smallflower umbrella-sedge,Rice sedge	Ubod-ubod	Rice				
Violet root rot	Fungus		Helicobasidium brebissonii,= Helicobasidium purpureum,Rhizoctonia crocorum [anamorph]				Carrot				
Volunteer rice	Fungus						Onion				
Watery soft rot	Fungus		Sclerotinia minor,Sclerotinia sclerotiorum,Sclerotium rolfsii,Botrytis cinerea				Carrot				
Web worm	Insect						Sorghum				
Weeds	Weed						Banana,Banana (Cavendish),Beans,Cacao,Carrot,Cassava,Celery,Citrus,Coconut,Coffee,Corn,Cotton,Garlic,Grass,Lawns,Mango,Non-crop areas,Oil palm,Okra,Onion,Peanut,peas,Pineapple,Potato,Rice,Rubber,Sorghum,Soyabeans,Sugarcane,Tobacco,Tomato,Turf grass,Vegetables				
Weevils	Insect						Cotton,Sweet potato,White potato				
Wet bud rot	Fungus						Coconut				
Wheat	Fungus						NULL				
White backed planthopper	Insect						Rice				
White fly	Insect						Cabbage,Citrus,Cotton,Eggplant,Potato,Stringbeans,Tobacco,Tomato,Watermelon				
White grub	Insect						Banana,Corn,Perennial fruits,Pineapple,Soyabeans,Sugarcane				
White leaf spot 	Fungus						-				
White rust	Fungus						Chrysanthemum				
White spot	Fungus						Corn				
White stem borer	Insect	Moth	Scirpophaga innotata				Rice		important pest in rainfed wetland rice. It can cause outbreaks and destroy rice fields		
Wild rice	Fungus						Onion,Rice				
Wild sugarcane 	Grass		Saccharum spontaneum			Talahib grass	Banana,Cacao,Citrus,Coconut,Coffee,Corn,Mango,Non-crop areas,Oil palm,Rubber,Sugarcane,Vegetables	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Poaceae,Subfamily:Panicoideae,Genus:Saccharum			
Yellow sigatoka	Fungus						Banana				
